clusterId,topicName,hashtags
0,Stay Home,stayhome quarantinelife stayathome flattenthecurve washyourhands quarantine coronapocalypse lockdown staysafe coronapocolypse quarentinelife coronalockdown staysafestayhome socialdistancingnow stayhomechallenge stayhomesavelives quarantineandchill staythefhome stayhealthy coronacrisis shelterinplace saturdaythoughts repost workingfromhome socialdistanacing selfisolation selfquarantine stopthespread quaratinelife canceleverything socialdistance stayathomeandstaysafe tiktok nhs saturdaymorning besafe family help nationalemergency corvid19 highriskcovid19 saferathome home covidactnow retweet staythefuckhome coronaupdate covidiots isolation dontpanic stateofemergency homeschooling washyourdamnhands covidãƒ_19uk inthistogether wtf coronabeer bekind stayathomechallenge quarantined flatteningthecurve beprepared panicshopping distancelearning stayathomeorder cnntownhall covÄ±d19 quarantineactivities psa commonsense london viral codvid19 stayhomestaysafe beer staywoke fridaythe13th selfisolating donttouchyourface spring nationaldoctorsday shelteringinplace wine covididiots quaratineandchill physicaldistancing alonetogether zoom humanrights staystrong schoolclosure covid19on coronavirÃ_s thelockdown fun californialockdown pets shutitdown delivery gratitude stayinformed supportlocal blessed earthquake momlife dog saturdaymotivation humanity diy friday lockdownnow friends savelives covid19out nycshutdown newnormal flattenthecuve stayconnected supportsmallbusiness dontbeaspreader caturday shutdown firstdayofspring coronapandemic staypositive rona tigerking selfisolate daylightsavings weareinthistogether stayathomesavelives read kindness slowthespread coronavÃ_rus startrek bewell bored fightcovid19 foodie shoplocal staycalm cabinfever besmart monday homeoffice weekend together saturdayvibes relax protectyourself easter quarantinecats togetherathome coronavillains coronamemes immunocompromised quarentine covididiot donate restaurant shutdownnyc doyourpart asthma dogsofinstagram familytime lovethyneighbor coronavirÃ_sÃ_ keepcalm saturday wegotthis soap onlineclasses birmingham tgif retweetplease happybirthday whistleblower canceleverythingnow wereinthistogether essentialworkers californiashutdown generalstrike coronauk edmfamily coveryourcough craftbeer staywell sale masks4all sleep stayhomemn handwash outdoors navy livestream homeworkout clubquarantine coronabeervirus sosickof dadlife stayinside quedateencasa allinthistogether wereallinthistogether 21daylockdown herdimmunity workingremotely laughteristhebestmedicine stayhomecanada ideas hantavirus bayarealockdown freshair pos isolationlife safeathome urgent daylightsavingstime sendhelp mom stay shopsmall washyourhandslike covid_19ph goat californiaquarantine letsfightcovid19 quarantine2020 takeout loveoneanother homedecor dinner cardib saturdaynight stuckathome happyhour 21dayslockdown baby truecrime stayhometexas afterhours pandemic2020 fooddelivery lockdown21 maralagovirus behealthy coronapocalypse2020 harrypotter stayhome24in48 tedtalk coveryourmouth besafeoutthere makeup aprilfoolsday yomequedoencasa buy demolitionman workingfromhomelife sonomacounty onlineshopping mitigation coronausa fullmoon interiordesign whencoronavirusisover plankthecurve delicious nhsheroes homesweethome sflockdown socialresponsibility learn bridgeport bbq newyorklockdown selfie savealife myquarantineinsixwords filmtwitter soapandwater take meditate puppy boredathome polishroyaltyandthegoat quarantinethoughts pet gift kidsathome houseparty goodvibes happyfriday yummy stoptouchingyourface foodporn gamersvscovid19 comfortfood skype bacon website mothersday notoiletpaper lockdownuknow shoponline,29052
1,Turmp Virus,trumpvirus trumpviruscoverup covid19us trumpliesaboutcoronavirus covid19usa trumppandemic cpac2020 pencedemic coronovirius votebluenomatterwho trumpslump trumpisanidiot dumptrump2020 resist fbr trumpnotfitforoffice mondaymotivation trumpcrash mondaythoughts sundaythoughts nevertrump trumpdemic trumpliedpeopledied cornoravirus marketcrash impotus voteblue liarinchief moscowmitch sundaymorning trumpplague trumpliespeopledie dumptrump covidiot voteblue2020 trumpistheworstpresidentever votebluetosaveamerica trumpliesamericansdie worstpresidentinhistory cpac testvirusnow trumplies resistance trumprecession idiotinchief pencepandemic gopcorruptionovercountry trumppressconference 25thamendmentnow cpacvirus onevoice1 gopbetrayedamerica votebluenomatterwho2020 worstpresidentever bebest trumptheworstpresidentever theresistance notmypresident traitortrump votebluetoendthisnightmare unfittobepresident trumpcrimefamily moronavirus bluewave2020 pandumbic trumpisadisgrace mondaymorning trumpfail wherearethetestkits moroninchief unfitforoffice stablegenius ventilators donthecon trumppressconf coverup fucktrump notmycoronavirusday sundaymotivation saturdaymood fakepresident strongertogether corruptionvirus 25thamendment cnnsotu sad joebiden2020 trumpvirus2020 trumpcoronavirus impotus45 trumpisunfit trumpcoronadisaster trumpspeech removetrumpnow trumpgenocide trumplieseverytimehespeaks gaslighting derangeddonald trumpaddress covid19italy unfit ratecuts sunday bidenharris2020 womenshistorymonth blackmonday impeachtrumpagain mondaymood votethemout trumpmadness resisters trumpskatrina tedcruz votehimout trumpisamoron trumpmeltdown racistinchief nerotrump diaperdon dropoutbernie vt impeachedforlife meetthepress trumpisavirus donttestdonttell mondaymotivaton wtpteam stupidity resignnow cdcstopthecoverup trumpisacorruptliar grifterinchief cvid19 impeach americanvirus trumpisanationalsecuritythreat trumpresign trumpliesabouteverything democrathoax dowfutures goptraitors stoptrump goodmorning trumpcrimesyndicate inept impeachedforever neoconservativecommunist bluewave trumpliesmatter foxnewslies 911insidejob cpacpatientzero countryoverparty trumpcoronacoverup idiocracy aipac wheresmitch unprepared trumpresignnow mondayvibes votethemallout wednesdaymood illegitimatepresident march1st sundayvibes trumpisacoronavirusdenier trumpslump2020 trumpdementia votetrumpout pandemicpence goplies trumpkills presidementia impeachbarr bidenbeatstrump uniteblue trumpmustgo idpol typhoidtrump penceisantiscience jaredkushner iq45 facethenation sociopath trumppandemicfailure fbrparty respirators resisttrump fridaymood gopcomplicittraitors trumpfailure votetrumpout2020 gopvotingblue march2020 ditchmitch trumpisthevirus beavoter trumpisarussianasset penceunqualified novelcoronavirus2019 cpaccoronavirus everythingtrumptouchesdies sundaymood wwechamber oilpricewar trumpocalypse demforce bluetsunami2020 vlog mentalillness protest gopvirus impeachmenttrial gopfail trumpviruscatastrophe trumpspandemic trumpisa_danger_toamerica trumpisincompetent trumpvirustestingfailure il14 breastcancer wherearethecovid19tests covidtest tuesdaymood chucktodd trumpswamp bebestmyass,21978
2,Maga,foxnews maga fakenews politics trump2020 kag gop democrats qanon potus donaldtrump cnn america hoax kag2020 pence election2020 truth wwg1wga msnbc maga2020 tcot whitehouse facts americafirst government congress msm biden2020 republicans factsmatter americans mikepence ohio fakenewsmedia tds american obama wakeupamerica deepstate morningjoe democrat trump2020landslide walkaway veterans incompetent democraticprimary dems maddow trumpadministration 2020election liberalismisamentaldisorder military winning trumpderangementsyndrome presidenttrump kag2020landslidevictory potus45 republican q socialism p2 wakeup wethepeople truthmatters misinformation political amjoy communist enemyofthepeople realdonaldtrump president bbc nytimes hysteria liar lgbtq democratsaredestroyingamerica minimike 2a metoo lies ccot gopcoverup democracy fearmongering politicalviews sciencematters propaganda fox pelosi draintheswamp buildthewall senate genx kentucky cult45 npr moron stimulus politicalparties incompetence democratshateamerica inners dnc disinformation impeachment patriots covid19ohioready prolife voteredtosaveamerica deplorable 1u nbc nancypelosi hannity elections2020 corruption gay teaparty greatawakening cbs liberals foxandfriends trumppence2020 ad tlot fl nwo trump2020landslidevictory election thegreatawakening tucker communism theview walkawayfromdemocrats trump2020nowmorethanever cleveland maga2020landslide mikebloomberg abortion qarmy studentdebt goodbyegop socialismkills abc wearethenewsnow va bbcnews abcnews narcissist thesepeoplearesick nationaldayofprayer woke trumptrain kaga2020 morons hillaryclinton army patriot progressive 4moreyears clintonbodycount barackobama socialist conservative farmers indigenous reuters votedemsout trumpsupporters democratstheenemywithin nra neverbernie spygate christians bailout pjnet tombrady democratsareadisgrace schumer keepamericagreat liberal demexit millenials deadlinewh vp qanons lastword evangelicals guns wapo burisma democraticparty adrenochrome dangerous dod liberalismisamentaldisease guncontrol thebestisyettocome mainstreammedia coronahoax aarp putinspuppets bidenforpresident2020 darktolight veteran ohiocoronavirus soros bestpresidentever pompeo saveamerica kaga qanon2020 orangemanbad sheeple trumpflu washingtonpost magat nbcnews azar velshi liberalhypocrisy openborders kimjongun politicians pizzagate godwins thestorm senators votered wwg1gwa rally sanders2020 blm communists deranged independents latinx sleepyjoe chuckschumer tuckercarlsontonight trusttheplan 1a thanks justice independent wwwethepeople globalist blexit fourmoreyears seanhannity clinton sponsored wwg1wgaworldwide legacy taskforce kag2020landslide trumpworldpeace tgdn stopthecoup topstories,21224
3,Health & Safety,health healthcare publichealth flu science epidemic mentalhealth covd19 handwashing media telehealth medical anxiety wellness panic influenza safety prevention doctors disease fear research telemedicine nurses medicine thankyou safetyfirst convid19 hospitals selfcare healthy blog preparedness cancer healthnews globalhealth sick fitness usnews hospital digital hygiene epidemiology healthtech fluseason infectiousdiseases people journalism perspective digitalhealth healthcareheroes pandemics spanishflu dataviz healthcareworkers medicalsupplies immunesystem infection immigration diabetes women pneumonia germs safe local nigeria doctor trends immunity medicare infectioncontrol tips nursing pandemicpreparedness stress math exercise medicaid depression today healing mindfulness nutrition workout illness wellnesswednesday nurse information symptoms stem grateful flushot vitaminc meditation gym pharmacy patients socialisolation healthyliving mentalhealthmatters worldnews plague cdwsocial statistics wellbeing dentistry socialsecurity corononavirus southcarolina lifestyle healthylifestyle handhygiene awareness nursetwitter infected drug whyiwasquarantined allergies healthinsurance clean infectionprevention healthtips public immune psychology cold lacounty obesity nursinghomes opinion care international hands belikeadoctor wash event fb physicians training march ocd opioid sanitize howto treatment blogging healthed middlemarket epidemics gross nurselife mentalhealthawareness infographic sanitation biology pharmacists goodhealth diet medicaldoctor healamerica mhealth pasadena doctorsday disaster patientsafety cms oibr infections longbeach patient prevent plan diseasesandconditions therapy naturalhealth datavisualization astrology crime weightloss bank mortality kenya holistic healthyfood worldobesityday uninsured fitnessmotivation flexibleworking fightflu employeebenefits er article rn diseaseoutbreaks vitamins bodybuilding homelandsecurity healthyhabits trauma heartdisease immigrants blood virtualcare body snrtg news12 suicideprevention blogger fit publichealthemergency primarycare clinicaltrial fluvaccine ptsd story globalnews fitfam healthpolicy dental robot festival disinfectants frontline gdpuk naturalhealing sickness selflove bizfinance germfree sciencetwitter joeharaszti eldercare malaria beready theflu microbiology transgender federalgovernment info homework colds,16681
4,Economy,business economy stocks stockmarket investing bitcoin fed markets leadership trading money gold stockmarketcrash2020 federalreserve crypto oil wallstreet retail btc dowjones recession market finance biotech blockchain interestrates oott bloomberg fintech emergency work jobs cryptocurrency trade crisis brexit global investment investors construction entrepreneur dow stockmarketcrash nasdaq silver success stock management ratecut nyse energy bonds opec pharma motivation startup forex fintwit online economics economic webinar supplychains brazil sp500 futures banking oilprice culture investments rates blackswan capitalism ceo unemployment xrp stockstowatch mining financial pdac2020 djia g7 ftse commodities pennystocks retirement volatility africabiz es_f cash investor hiring options stockmarkets tariffs software pharmaceutical globaleconomy interestrate spx daytrading stimuluspackage 401k employment equity tradewar hedgefund invest tsx productivity az metals job innatpdac ausbiz wealth centralbanks banks planning ww3 fedcut compliance axentstone entrepreneurship southafrica gdp payments drugs oilandgas infrastructure cryptocurrencies fomc policy career axentstonec updates corpgov crudeoil nascar entrepreneurs inflation recruiting ecb eth equities exports videoconferencing production office argusoil madmoney credit bearmarket luxury tradingpsychology spy growth finserv supply rate dating dubai debt ltc steel lng studentloans boris pharmaceuticals usd bankofcanada tradingsignals retirementplanning wti shares demand retailers recession2020 consumers es gas leaders cfo chro copper dollar powell financialplanning xrpcommunity income coinbase correction stockmarketnews jobsearch tinder thefed personalfinance leader stockstotrade wall crash2020 financialcrisis euro treasury border bch forextrading bullion etf careers indices tradersexpo export price wealthmanagement ethereum goldnomics currency preciousmetals biotechnology developers interest colombia billionaire lifesciences top risks wages crude commercial tradewiser bullmarket charts argusblog lumber qqq ipo dax30 cmo goldcoreyoutube real financialadvisor businesstips oilwar financialfreedom bitcoinprice prepyourhealth electricvehicles qe monetarypolicy ceos asx dji kitconews firemovement ghana shale ftse100 oprah elliottwave cement rba slowdown staffing publicpolicy bottomfishing,15866
5,Testing & Vaccine,cdc who coronavid19 vaccine foxbusiness vaccines nih unitedstates coronovirus cnbc coronavius testing coronarivus caronavirus caronavirusoutbreak fauci bigpharma doctorsspeakup remdesivir worldhealthorganization autism hhs testkits hydroxychloroquine pandemia chloroquine ettd coronoavirus cure doomsday vaccineswork prepare anthonyfauci wuhanoutbreak osha antivirals asiapacific niaid cdcwonttestme covid19france wsj cdcfail vaccinessavelives cruiseships disinfectant diseases vaccination safehands theautismstudies clinicaltrials measles doomsdaypreppers chronicpain failure suicide hell in study cdctravelnotice informedconsent learntherisk evacuations c4news icanvscdc johnhopkins,7150
6,Global Pandemic,iran italy southkorea japan australia update israel russia france hongkong africa europe germany singapore spain mexico korea taiwan covid19italia asia northkorea vietnam turkey italycoronavirus ukraine iraq pakistan paris irancoronavirus saudiarabia syria thailand egypt iranian milan greece melbourne uae putin italian italylockdown middleeast louvre afghanistan ebay rome ethiopia kuwait israeli lebanon venice italia indonesia unitedkingdom switzerland malaysia geopolitics irancovidtruth ayatollahsspreadcovid19 covid19korea qatar philippines covid19mx quarantines vinyl saudi newzealand norway irgc tehran idlib zimbabwe italystaystrong netherlands netanyahu iranians northamerica mecca judaism covid19iran tibet austria taliban sweden sanctions algeria hongkongprotests armenia pasta gaza prayforitaly florence bahrain berlin sydney somalia ecuador french palestinians Ú©Ø±ÙˆÙ†Ø§ collectible macron mek irancorona palestine,7075
7,Music,breakingnews music love new trending thebachelor youtube hope nowplaying soundcloud hiphop newmusic np instagram peace spotify share rap ufc248 artist radio follow house dj song trendingnow womentellall edm positive bts dance listen mma creativity youtuber beats housemusic thebachelorfinale ufc birthday trend kobebryant happiness subscribe rock gamers ladygaga bachelor metal itunes trap musician rapper livemusic concert country calm btsarmy vibes mood like tonight humpday iheartradio musicians tmz taylorswift godblessthemotherland countrymusic kpop applemusic party classicrock bachelorette songs rnb singer musicnews newrelease playlist godisgood pop producer newmusicfriday jazz guitar rocknroll warmth bjj hiphopmusic songwriter techno ripkobe drums tidal fox12 like4like iheartawards musicislife newmusic2020 ufcbrasilia mmatwitter,4676
8,Chinese Virus,chinesevirus wuhanvirus wuhancoronavirus chinavirus chinaliedpeopledied kungflu chinacoronavirus chinesecoronavirus ccpvirus wuhancoronavius chinesewuhanvirus chinaliedandpeopledied madeinchina chinalies wuhancoronavirusoutbreak wuhanflu boycottchina hypocrite borderobserver wuhanpneumonia wetmarkets chinesevirus19 xivirus coronarovirus quote standwithhongkong trumps ucla preppertalk quiktake covid19filipinos wuhanvirusmadeinchina chinazi chineseflu communistchina chinapneumonia anywherebutchina,4167
9,Tech,tech ai technology iot icymi data 5g artificialintelligence innovation machinelearning bigdata technews cloud datascience cio digitaltransformation analytics ml cloudcomputing robotics robots huawei deeplearning future cheers futurism automation mobile medtech projectmanagement transparency drones healthit blogpost ethics telecom analysis rstats alibaba forbes disruption linux chatbot enterprise techforgood apps python agile techunity british smartthings idol datacenter dl,3635
