date,maga,toiletpaper,economy,stayathome,chinavirus,stayhealthy,pencedemic,shelterinplace,pandemic,votebluenomatterwho
1,81,1,13,0,5,1,32,0,50,41
2,17,0,4,0,1,1,4,0,14,7
3,69,55,56,2,6,4,11,0,60,25
4,75,62,28,0,7,6,10,0,56,44
5,18,5,20,0,2,1,9,0,39,19
6,21,12,19,0,0,2,10,0,21,6
7,29,11,4,0,2,0,2,0,19,20
8,16,25,3,0,0,0,5,0,14,15
9,20,1,16,0,1,1,3,0,12,7
10,14,6,3,1,6,0,1,0,13,8
11,13,2,1,2,2,1,0,0,26,9
12,9,3,5,0,2,0,0,0,43,1
13,11,8,3,0,1,1,0,0,27,2
14,8,6,3,2,1,4,0,1,26,8
15,10,6,2,4,3,4,0,0,20,9
16,6,8,0,4,2,5,0,1,24,4
17,12,6,5,2,7,3,0,4,16,5
18,14,5,1,2,26,4,0,3,25,0
19,5,5,1,6,20,0,0,2,30,4
20,14,5,1,19,36,3,0,4,26,4
21,9,6,1,145,14,3,0,7,30,12
22,5,3,2,117,15,1,0,2,16,6
23,3,0,0,27,5,0,0,4,10,0
24,5,0,6,33,6,2,0,8,15,1
25,5,2,1,30,8,4,0,9,19,5
26,7,0,2,27,6,0,0,8,25,0
27,7,0,2,34,8,7,1,7,14,2
28,5,1,0,10,3,3,0,5,12,2
29,4,0,1,18,6,2,0,4,14,3
30,1,1,1,36,6,4,0,0,14,3
31,6,0,3,111,9,1,0,3,18,3
