name,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
topic0,8,9,7,8,7,5,8,6,6,5,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
topic1,1,0,2,2,2,0,0,0,0,0,1,0,1,1,1,1,2,1,1,1,1,1,1,2,2,1,1,1,1,2,2
topic2,3,1,1,0,1,1,1,1,3,1,0,1,2,2,2,2,1,3,3,2,2,3,3,3,1,2,2,2,2,1,1
topic3,4,2,0,1,0,2,5,5,1,4,5,6,4,9,5,4,5,6,6,8,6,6,7,4,6,7,6,7,8,6,4
topic4,0,4,3,3,3,3,2,3,2,2,3,2,3,3,3,3,3,4,4,4,3,2,2,1,3,3,3,3,3,3,3
topic5,5,5,4,4,4,6,3,2,5,3,4,7,6,4,4,5,6,5,5,5,5,5,4,5,5,6,5,4,4,5,6
topic6,2,3,6,5,6,4,7,4,4,6,6,3,5,6,8,11,10,11,9,9,7,7,8,7,14,10,8,5,16,18,14
topic7,6,8,8,6,5,7,9,7,7,8,8,9,9,10,9,9,8,8,8,7,10,8,9,9,7,9,9,12,10,11,13
topic8,7,11,5,7,11,14,13,12,11,9,9,8,10,8,7,10,15,17,16,15,13,14,13,18,15,15,18,15,11,21,19
topic9,10,12,9,10,9,8,11,15,9,10,7,11,8,7,10,6,7,7,7,6,8,9,6,6,4,5,4,13,15,4,7
topic10,18,36,36,26,22,28,23,21,8,7,11,10,11,11,16,16,4,2,2,3,4,4,5,8,8,4,7,9,5,14,8
topic11,13,15,10,9,8,9,10,14,24,20,18,29,22,37,43,22,45,46,69,34,57,68,49,32,51,59,35,30,31,102,79
topic12,27,14,14,12,13,15,14,17,14,12,12,15,16,17,14,13,14,9,10,13,9,13,11,12,13,8,10,8,7,10,11
topic13,12,13,12,15,18,18,16,16,10,11,15,13,12,14,20,15,17,19,13,17,16,17,12,13,11,12,14,18,12,17,12
topic14,30,32,20,13,14,12,4,9,18,18,16,16,7,5,6,12,12,15,18,18,20,19,22,37,32,53,30,32,24,59,36
topic15,16,20,21,14,12,21,20,10,15,13,20,14,14,15,12,14,9,10,15,10,12,10,10,11,10,16,11,10,9,13,9
topic16,37,6,11,11,26,22,17,8,21,30,33,33,52,45,36,36,74,71,51,62,59,36,46,49,106,48,32,46,47,66,45
topic17,14,17,16,17,15,19,19,13,12,15,19,19,19,16,13,23,16,13,17,19,14,15,24,20,18,23,15,14,13,26,20
topic18,21,33,25,25,30,23,18,24,25,28,25,17,15,13,15,8,13,16,11,12,15,16,20,10,12,11,23,11,21,19,15
topic19,24,38,35,24,23,42,37,23,16,16,28,12,18,12,11,18,11,14,14,11,11,11,16,15,9,13,13,6,6,9,10
topic20,26,39,26,28,29,10,6,11,40,24,34,25,32,22,24,70,30,43,46,51,29,20,60,44,28,58,46,27,42,55,53
topic21,34,35,13,21,25,11,12,28,41,38,47,43,34,44,23,49,28,28,42,28,37,58,40,29,47,19,22,41,28,27,40
topic22,11,10,28,23,16,20,24,22,29,17,24,35,27,38,19,47,54,42,44,21,30,49,45,76,35,21,52,21,40,38,29
topic23,15,22,15,19,20,35,27,30,26,29,22,37,26,18,17,19,38,21,27,29,31,25,36,21,33,30,16,40,19,15,22
topic24,38,28,22,20,21,25,33,31,19,22,21,20,13,26,26,17,31,22,21,14,24,32,18,22,24,14,17,35,32,7,23
