name,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
Stay Home,6,7,7,6,8,6,2,5,5,5,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trump Virus,0,0,3,3,4,0,0,0,0,1,2,0,2,2,2,3,2,1,1,1,1,1,1,2,3,2,1,1,1,2,3
maga,1,1,1,2,0,2,1,1,1,0,0,1,1,1,1,1,1,3,3,2,2,2,2,1,1,1,2,2,2,3,2
Health Safety,2,3,2,1,1,3,3,2,3,2,1,2,3,3,3,2,3,4,4,4,3,3,3,3,2,3,3,3,3,1,1
Economy,3,2,0,0,2,1,4,4,2,3,4,5,4,4,4,4,5,5,5,5,5,5,6,4,4,5,4,5,5,4,4
Vaccine,4,4,5,5,5,5,7,6,6,6,5,8,6,7,8,9,9,8,7,11,10,8,9,7,16,16,9,9,13,13,11
Global Pandemic,5,5,6,4,6,7,8,3,4,4,6,6,10,8,5,8,11,7,8,7,8,7,7,11,9,9,10,10,9,7,9
Music,12,18,12,8,9,19,11,7,8,8,7,7,8,6,7,7,6,6,6,6,6,6,4,5,5,8,5,4,4,6,5
Chinese Virus,17,29,33,28,25,26,25,22,7,7,11,9,7,9,13,15,4,2,2,3,4,4,5,6,7,4,6,8,6,15,6
Tech,8,10,8,11,11,16,14,12,10,14,9,15,15,12,12,10,16,11,12,15,11,10,14,9,11,10,11,13,11,5,12
NYC,21,14,16,14,12,17,13,11,13,10,13,12,18,16,11,13,15,9,10,14,7,9,8,10,10,7,7,7,7,8,8
Seattle,9,11,10,10,7,9,9,13,26,26,19,31,28,18,26,22,26,27,48,23,28,59,31,24,46,49,20,30,39,56,28
Toilet paper,26,31,23,12,19,14,5,8,17,20,18,19,5,5,6,11,13,15,17,17,15,18,25,57,38,53,34,36,31,51,40
Bernie2020,10,13,9,16,18,24,18,17,12,9,12,11,9,10,9,12,18,18,25,19,12,16,13,19,19,21,26,18,10,34,37
Canada,16,22,18,19,21,20,12,19,11,24,21,16,12,11,10,6,8,10,9,9,9,12,11,8,8,6,17,6,15,14,7
Supertuesday,25,21,4,7,40,48,46,32,58,36,53,74,61,81,82,68,61,134,87,144,81,95,84,118,161,73,84,103,56,133,156
Sarscov2,7,8,14,13,13,11,16,16,20,16,22,26,21,31,32,36,37,25,22,28,52,51,53,73,24,19,38,54,34,23,20
Travel,15,15,13,15,16,13,20,18,15,13,17,10,20,21,16,21,22,19,20,25,21,43,22,39,43,37,24,37,91,45,22
UK cases,14,16,17,24,17,23,15,14,18,11,10,13,19,13,19,17,21,20,18,16,18,21,12,21,14,22,16,11,12,16,21
California,22,26,34,22,10,18,10,9,9,17,16,23,27,25,18,18,14,26,16,8,13,15,20,14,36,24,22,16,20,36,17
Wash Hands,20,28,22,27,23,8,6,10,24,21,23,18,24,20,20,58,28,46,57,47,29,25,66,43,25,55,44,23,47,49,50
Wuhan,11,17,19,18,15,22,19,23,16,19,27,20,23,24,30,25,35,22,19,31,30,26,23,55,53,33,37,21,33,48,49
Online Learning,30,27,24,23,22,27,28,21,14,12,15,14,11,15,17,16,12,13,11,12,16,19,15,15,13,20,13,12,37,17,18
Coronaalert,67,67,64,9,3,10,27,46,72,67,55,42,56,45,54,59,66,72,112,84,64,64,122,66,92,131,121,60,117,131,103
sxsw,27,32,11,25,27,12,21,26,31,31,39,33,33,37,15,39,27,24,36,22,26,44,34,26,47,17,23,27,22,26,36
Florida,28,12,21,30,24,33,22,15,21,23,25,22,26,19,22,20,20,17,14,29,17,14,28,17,28,15,18,25,21,18,16
Supply Chain,18,24,20,17,28,28,35,34,19,48,29,27,39,73,41,26,42,32,24,27,41,52,64,40,29,31,36,104,16,32,46
Work from Home,65,23,32,38,32,25,37,39,27,18,20,21,16,14,23,14,10,16,13,13,23,27,10,13,12,12,12,28,19,10,14
n95 masks,13,6,29,26,20,40,53,38,52,101,63,75,82,99,78,74,72,61,88,57,62,33,85,31,61,44,15,26,26,81,41
Texas,35,20,26,31,30,15,17,25,36,38,34,40,31,82,42,27,30,36,34,48,39,74,50,27,22,40,49,41,23,62,32
Sports,55,49,51,45,47,50,29,36,43,25,8,4,14,17,28,19,19,35,27,41,45,39,54,28,37,23,78,45,38,31,44
topic31,47,34,31,37,31,31,36,40,25,30,24,35,13,34,38,23,47,33,26,18,32,34,17,52,44,14,21,51,41,11,38
topic32,42,42,28,29,29,29,30,37,37,46,46,28,29,27,33,35,33,41,50,42,19,37,52,35,55,30,55,39,64,27,29
topic33,19,45,37,36,41,37,32,35,35,41,52,71,38,41,36,40,54,30,37,36,48,53,38,32,42,26,35,40,50,37,25
topic34,37,43,46,40,45,36,26,29,28,28,35,41,25,22,25,32,51,21,32,43,43,24,32,23,27,39,25,14,25,19,30
topic35,41,44,25,32,34,51,50,44,38,29,43,32,34,68,59,72,68,47,28,40,54,38,19,36,34,34,29,32,48,9,34
topic36,171,138,153,223,147,4,23,59,127,223,232,143,17,55,172,186,246,167,244,10,73,115,151,134,160,173,8,24,142,162,177
topic37,39,47,50,47,43,43,33,31,55,37,85,25,22,26,14,31,32,39,84,49,51,11,33,12,40,72,57,38,28,61,39
topic38,45,57,43,39,44,45,39,55,39,33,50,56,45,69,64,33,56,42,46,20,38,56,41,51,30,13,39,49,61,21,23
topic39,31,48,39,44,36,61,83,24,22,59,44,24,75,51,24,34,76,38,80,67,58,49,57,38,18,35,99,109,146,117,26
topic40,62,76,49,57,82,32,31,74,23,27,38,37,71,23,35,43,7,29,59,64,59,61,69,76,84,84,28,64,94,80,68
topic41,79,37,35,35,38,38,67,70,34,42,47,93,69,64,75,49,52,34,41,55,84,73,56,58,65,46,41,106,95,25,61
topic42,33,19,47,41,54,35,57,43,32,65,42,39,47,32,39,44,45,95,45,75,56,84,71,33,96,83,85,78,141,108,69
topic43,50,69,55,48,49,96,54,42,50,55,83,68,35,30,34,41,24,66,33,46,24,17,16,25,32,29,31,52,27,29,48
topic44,36,54,60,51,70,53,60,45,41,68,93,53,32,36,21,51,60,44,49,38,34,20,21,49,39,71,51,31,18,28,15
topic45,38,30,42,34,53,65,38,65,71,32,28,51,65,46,63,101,86,86,66,73,97,85,141,64,85,125,76,83,143,112,76
topic46,75,51,79,56,46,80,47,33,64,75,80,34,48,66,29,30,64,54,30,33,44,30,49,22,20,18,19,19,17,41,35
topic47,57,46,57,54,73,66,81,63,46,52,40,72,41,44,27,37,31,40,47,26,37,41,43,20,17,80,40,77,42,33,31
topic48,231,237,15,71,243,237,242,236,156,15,60,230,235,229,214,235,17,163,242,228,185,158,155,56,110,228,156,131,138,147,13
topic49,46,63,58,59,63,59,48,54,74,70,79,58,59,33,62,46,53,50,53,58,49,55,44,71,70,32,69,29,8,12,10
