name,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
Stay Home,6,8,6,6,6,7,7,7,5,5,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maga,0,1,0,0,2,3,1,0,1,0,0,0,1,1,1,1,1,3,3,1,2,2,1,1,2,1,1,2,2,3,2
Health & Safety,1,2,2,1,1,1,2,2,3,2,1,1,3,3,2,2,2,4,4,3,3,3,3,3,1,2,2,3,3,1,1
Trump Virus,2,0,3,3,3,0,0,1,0,1,2,2,2,2,3,3,3,1,1,2,1,1,2,2,3,3,3,1,1,2,3
Economy,4,3,1,2,0,2,4,5,2,4,4,5,4,6,5,4,5,5,5,5,5,7,7,4,4,6,4,7,7,5,4
Global Pandemic,5,4,4,4,4,5,3,3,4,3,5,6,5,4,4,5,7,6,6,6,6,5,4,5,5,5,5,5,4,4,6
Testing & Vaccine,3,5,5,5,5,6,8,6,6,7,6,9,8,9,8,9,11,10,8,12,10,9,8,8,18,20,13,11,12,15,11
Chinese Virus,8,12,14,9,11,13,14,12,7,6,9,8,7,8,12,12,4,2,2,4,4,4,5,6,8,4,7,6,6,13,7
Music,10,13,8,7,7,17,13,8,9,8,7,7,9,7,7,8,6,7,7,7,7,6,6,7,6,8,6,4,5,6,5
Toilet Paper,23,28,22,8,17,10,5,4,14,16,16,17,6,5,6,10,12,11,16,17,17,23,23,48,33,50,31,32,26,59,40
NYC,20,11,13,11,10,16,16,13,15,10,14,11,18,18,13,17,18,13,12,16,8,11,11,10,13,9,9,8,8,10,10
Cybersecurity,15,14,9,12,14,14,20,18,10,13,11,16,10,16,26,15,19,17,14,13,13,21,9,17,15,7,15,22,15,7,22
Canada,16,23,18,22,25,20,15,19,12,24,20,15,13,11,10,7,9,15,10,11,11,12,15,9,10,10,18,9,17,17,8
California,18,21,26,16,9,12,11,9,8,12,13,13,19,23,16,18,13,22,17,8,15,16,20,18,29,26,19,16,18,27,19
Seattle,9,10,11,10,8,11,12,14,29,25,18,29,26,24,40,23,42,42,55,42,37,67,46,30,50,51,30,52,46,80,51
Online Learning,24,25,20,20,18,21,24,15,11,9,10,10,11,12,11,14,8,8,9,10,12,14,13,11,9,14,11,12,23,16,15
Wash Hands,19,26,17,24,20,9,6,10,18,18,21,14,22,19,22,49,23,37,52,43,30,25,54,40,27,42,38,20,45,39,45
Tech,13,16,10,15,16,25,21,23,19,20,15,27,20,14,15,16,26,18,20,24,27,19,31,16,34,22,16,25,14,8,16
SXSW,25,24,7,17,22,8,10,22,27,30,32,43,28,39,18,41,22,26,30,29,29,57,37,25,28,19,22,29,30,34,31
Small Businesses,30,17,19,21,21,19,28,39,13,15,19,24,14,21,20,11,14,9,11,14,22,33,18,14,12,15,14,24,35,9,21
Big Tech,22,18,15,14,12,15,22,27,23,22,28,18,21,17,17,20,20,19,29,23,14,32,21,24,44,23,27,26,50,23,17
Supply Chain,14,19,16,13,26,24,31,33,16,47,24,23,36,70,37,22,37,28,24,21,39,50,61,39,26,32,34,91,13,30,44
Work from Home,59,20,25,31,27,23,33,36,21,14,17,19,15,13,23,13,10,16,13,15,25,31,12,15,11,12,12,27,16,11,13
SarsCov2,11,7,27,25,15,22,23,20,30,17,23,35,27,36,27,56,56,45,51,28,42,48,52,83,42,28,75,53,40,41,29
Florida,32,9,21,30,24,31,19,17,24,23,25,21,25,22,30,21,25,24,19,34,32,17,32,22,35,17,20,28,36,22,20
n95 masks,12,6,24,23,19,37,46,37,46,94,68,74,75,95,77,71,69,55,94,52,60,36,87,31,64,45,17,21,25,68,34
Sports,54,39,45,39,40,43,26,35,36,21,8,4,12,15,29,19,16,29,26,36,40,40,45,27,36,25,70,54,39,29,43
Climate Change,17,38,29,29,33,30,27,34,32,37,48,69,35,38,33,37,52,25,31,31,45,53,35,32,39,29,35,36,54,31,24
Memes,33,37,39,35,37,28,25,28,22,27,33,32,24,20,28,32,49,23,28,40,35,29,30,23,24,43,24,15,22,20,30
Real Estate,38,35,23,26,29,44,43,44,35,26,39,28,33,62,56,64,64,38,25,35,53,41,19,35,30,34,29,31,55,12,32
Friday Thoughts,159,130,132,194,127,4,17,52,113,140,206,117,16,56,166,169,176,162,182,9,64,76,131,126,143,123,8,23,137,150,160
Mental Health,46,49,44,45,73,47,47,48,33,50,43,61,30,26,19,26,17,20,18,19,18,18,17,19,17,16,21,18,33,19,28
Marketing,41,43,36,33,39,46,32,47,34,33,50,40,48,52,41,31,33,27,43,18,26,60,41,50,22,13,25,38,44,24,23
Australia,36,42,43,41,35,39,29,30,49,32,79,22,23,28,14,27,29,32,76,45,50,10,26,12,40,62,47,37,28,57,35
Sunday Thoughts,7,70,108,117,130,117,127,11,52,135,123,76,97,80,9,65,103,75,105,114,115,8,16,96,90,89,106,143,10,66,84
topic35,28,40,31,38,30,56,80,21,17,55,40,20,66,49,25,34,70,30,73,60,58,47,51,36,19,36,89,131,131,92,27
topic36,44,62,48,42,41,88,44,41,42,48,75,63,31,27,31,30,21,53,27,38,21,20,14,21,25,30,23,42,19,28,36
topic37,29,15,40,34,44,29,49,43,28,59,37,31,41,31,36,38,44,81,42,66,54,72,62,33,94,82,86,72,142,96,67
topic38,50,34,35,32,38,42,48,64,44,35,49,44,85,54,70,33,39,46,39,37,55,22,59,53,37,24,33,65,72,18,42
topic39,48,22,38,47,36,35,39,31,45,41,38,55,39,86,50,28,41,34,36,53,47,66,58,26,41,55,58,50,20,60,41
topic40,51,51,49,48,58,61,83,38,39,29,27,64,43,33,38,29,40,21,21,33,56,26,38,37,47,53,44,58,21,21,25
topic41,35,27,34,28,43,60,34,65,70,28,26,46,56,44,62,93,80,87,61,63,83,74,137,63,85,116,69,87,134,91,70
topic42,223,221,12,61,225,213,221,199,137,11,55,213,216,172,187,219,15,166,183,226,175,144,135,49,121,155,145,109,135,129,12
topic43,43,54,51,52,55,54,42,55,73,67,74,53,54,32,61,39,50,44,48,51,51,55,40,69,69,33,65,30,9,14,9
Wednesday Thoughts,181,134,183,19,68,173,207,135,223,138,12,83,118,161,189,221,137,14,77,154,176,154,39,151,7,56,171,147,144,151,162
Faith,34,58,53,50,70,53,57,50,37,66,126,52,37,37,24,48,63,39,46,44,43,34,29,44,43,59,55,44,24,32,18
topic46,27,92,116,18,28,80,110,26,106,127,153,104,120,72,147,117,178,179,184,223,174,95,120,152,157,135,114,150,132,152,120
topic47,26,32,37,46,45,38,30,45,40,61,86,49,34,46,71,47,45,51,142,67,87,71,119,94,82,37,150,149,127,77,83
Veterans,49,41,42,65,78,36,61,40,78,60,47,34,69,25,21,45,43,54,33,68,46,35,65,84,46,21,36,43,29,48,46
Saturday Thoughts,37,226,194,222,219,174,9,29,218,223,218,220,221,10,45,217,177,178,163,136,9,43,133,155,155,153,172,10,38,153,163
