name,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
Stay Home,6,8,6,6,6,7,7,7,5,5,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Health & Safety,0,1,0,0,2,3,1,0,1,0,1,0,1,1,1,1,1,3,3,1,2,2,1,1,2,1,2,2,2,3,2
Economy,1,2,2,1,1,1,2,2,3,2,0,1,3,3,2,2,2,4,4,3,3,3,3,3,1,2,1,3,3,1,1
Trump Virus,2,0,3,3,3,0,0,1,0,1,2,2,2,2,3,3,3,1,1,2,1,1,2,2,3,3,3,1,1,2,3
Maga,4,3,1,2,0,2,4,5,2,3,4,5,4,6,5,4,5,5,5,5,5,7,7,4,4,5,4,7,7,5,4
Global Pandemic,5,4,4,4,4,6,3,3,4,4,5,6,5,4,4,5,7,6,6,6,6,5,4,5,5,6,5,5,5,4,7
Chinese Virus,3,5,5,5,5,5,8,6,6,7,6,9,8,9,8,9,11,10,8,12,10,9,8,8,18,20,13,11,12,15,11
Music,8,12,14,9,11,13,14,12,7,6,9,8,7,8,12,12,4,2,2,4,4,4,5,6,7,4,7,6,6,13,6
Supertuesday,10,13,8,7,7,17,13,8,9,8,7,7,9,7,7,8,6,7,7,7,7,6,6,7,6,7,6,4,4,6,5
NYC,23,28,22,8,17,10,5,4,14,16,16,18,6,5,6,10,12,11,16,17,17,23,23,47,32,50,30,33,26,59,40
Toilet Paper,20,11,13,11,10,16,16,13,15,10,14,11,18,18,13,17,18,13,12,16,8,11,11,10,13,9,8,9,8,10,10
Defeat Trump,15,14,9,12,14,14,20,18,10,13,11,16,10,16,25,15,19,17,14,13,13,21,9,17,14,8,15,22,15,7,22
Tech,16,23,17,22,25,20,15,19,12,24,20,14,13,11,10,7,9,15,10,11,11,12,15,9,10,10,18,8,17,17,8
Travel,18,21,26,16,9,12,10,9,8,12,13,15,19,23,16,18,13,23,17,8,16,16,20,20,28,25,21,16,18,27,19
Canada,9,10,11,10,8,11,12,14,29,25,18,31,26,24,40,23,42,41,55,40,37,67,46,30,50,51,28,47,46,81,51
SXSW,24,25,20,20,18,21,23,15,11,9,10,10,11,12,11,14,8,8,9,10,12,14,13,11,9,14,11,12,23,16,15
California,19,26,18,23,20,9,6,10,19,18,21,13,22,19,21,47,23,36,53,43,29,25,54,39,26,41,37,18,45,40,44
Seattle,13,16,10,15,16,25,21,24,17,21,15,25,20,14,15,16,25,18,20,24,27,19,31,16,33,22,16,27,14,8,16
Wash Hands,25,24,7,17,22,8,11,21,27,29,32,41,28,39,19,41,24,27,30,31,31,57,37,24,27,19,22,30,30,38,30
AI & Tech,29,17,19,21,21,19,27,38,13,15,19,23,14,21,22,11,14,9,11,14,22,33,18,13,12,15,14,24,34,9,21
Big Tech,22,18,15,14,13,15,24,26,24,23,28,19,21,17,17,20,20,21,29,23,15,32,21,25,43,27,31,32,50,24,17
Work from Home,14,19,16,13,26,23,31,33,16,45,24,22,37,77,36,22,34,28,24,22,39,50,61,38,25,32,33,99,13,29,45
