state,date,sentiment,total,row,col,pval
TX,1,-0.14752036818285766,120212,7,5,0.0
TX,2,-0.06621960807230852,25668,7,5,6.825e-41
TX,3,-0.09424251738165249,123406,7,5,0.0
TX,4,-0.04947530145064365,124979,7,5,3.343e-104
TX,5,-0.031848945545157575,32908,7,5,5.672e-12
TX,6,-0.11466914608555377,30975,7,5,2.73e-143
TX,7,-0.13196082392740788,31629,7,5,6.071e-207
TX,8,-0.08923381811487655,16296,7,5,1.746e-57
TX,9,-0.11037361111111023,16344,7,5,1.144e-66
TX,10,-0.06731650693653245,14921,7,5,1.507e-30
TX,11,-0.06671091777121721,15919,7,5,2.433e-25
TX,12,-0.04847193537823428,18322,7,5,1.218e-18
TX,13,-0.05818701166648798,18686,7,5,6.25e-18
TX,14,-0.033730974715785365,16097,7,5,3.744e-10
TX,15,-0.03458650570401651,12798,7,5,1.658e-08
TX,16,-0.0204788267133646,12563,7,5,0.0003227
TX,17,-0.06799816482925394,14876,7,5,2.686e-24
TX,18,-0.057216527961421515,12857,7,5,2.126e-18
TX,19,-0.06730983574244395,15220,7,5,1.045e-29
TX,20,-0.032365781653746775,15480,7,5,3.011e-09
TX,21,-0.015745722433459983,11572,7,5,0.00592
TX,22,-0.030791038099645045,12966,7,5,0.0001049
TX,23,-0.025782953476593668,13821,7,5,9.908e-06
TX,24,-0.017721214763150344,13764,7,5,0.006372
TX,25,0.011426228663919935,13592,7,5,0.1095
TX,26,-0.023217090173150424,13341,7,5,0.0004556
TX,27,-0.031021196740063005,13988,7,5,1.138e-07
TX,28,-0.007948975735127426,13229,7,5,0.9512
TX,29,-0.04739313679245305,12720,7,5,2.1e-12
TX,30,-0.07166030431562735,14853,7,5,5.557e-24
TX,31,-0.041868693474328714,14374,7,5,8.989e-10
ALL,1,-0.14462541177612614,1398029,0,0,0.0
ALL,2,-0.07945056596123677,281203,0,0,0.0
ALL,3,-0.0858730678284648,1475956,0,0,0.0
ALL,4,-0.048479454369232546,1477336,0,0,0.0
ALL,5,-0.051688510008010065,367955,0,0,0.0
ALL,6,-0.11079253424313452,394240,0,0,0.0
ALL,7,-0.1291230603025665,398026,0,0,0.0
ALL,8,-0.08347355949448852,208347,0,0,0.0
ALL,9,-0.10499000521994228,206898,0,0,0.0
ALL,10,-0.06363601466019053,188265,0,0,1.99e-274
ALL,11,-0.051800222124924244,187282,0,0,3.041e-212
ALL,12,-0.03722882572222508,189657,0,0,4.799e-108
ALL,13,-0.0599135271590577,186181,0,0,1.2e-241
ALL,14,-0.025612607827740035,166817,0,0,2.06e-38
ALL,15,-0.02165563612088074,151292,0,0,6.462e-35
ALL,16,-0.008127139836864904,143317,0,0,4.67e-05
ALL,17,-0.046354993586586034,152025,0,0,2.539e-123
ALL,18,-0.04050697544879141,141826,0,0,2.426e-83
ALL,19,-0.05224616186392309,160221,0,0,6.153e-154
ALL,20,-0.030767346473538435,171078,0,0,8.437e-67
ALL,21,-0.012808902868268836,133530,0,0,9.371e-14
ALL,22,-0.02365560412134463,149854,0,0,1.587e-31
ALL,23,-0.0197412507807838,156894,0,0,5.026e-24
ALL,24,-0.01399384358971105,154798,0,0,3.813e-13
ALL,25,0.008022808661580411,159001,0,0,2.247e-05
ALL,26,-0.01746562805610288,161562,0,0,1.377e-23
ALL,27,-0.019766084274816714,165696,0,0,7.715e-30
ALL,28,-0.010827473444664202,153359,0,0,8.86e-07
ALL,29,-0.05036123360547364,154701,0,0,6.922e-146
ALL,30,-0.04546001318637852,171389,0,0,4.826e-131
ALL,31,-0.0398398210405649,175347,0,0,2.67e-86
OH,1,-0.12932120139617875,40969,4,10,2.836e-250
OH,2,-0.07608312709461228,7758,4,10,1.802e-18
OH,3,-0.08182807402268868,44689,4,10,6.624e-108
OH,4,-0.04307410667930705,44301,4,10,2.848e-27
OH,5,-0.047354259086672956,10730,4,10,2.82e-09
OH,6,-0.10339307939053705,12470,4,10,2.964e-55
OH,7,-0.11953981465737212,11762,4,10,4.414e-61
OH,8,-0.09150468812077857,5034,4,10,1.01e-20
OH,9,-0.0802480672268912,5355,4,10,4.94e-12
OH,10,-0.06214007424429893,5657,4,10,1.831e-09
OH,11,-0.051231589921807055,5755,4,10,1.282e-07
OH,12,-0.017604796981674425,5566,4,10,0.01769
OH,13,-0.05103310917721524,5056,4,10,5.319e-07
OH,14,-0.027845327815290873,4591,4,10,0.0008406
OH,15,-0.006022862912272835,4457,4,10,0.2067
